"id","class","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat"
"1","p","s","f","g","t","p","f","d","n","k","e","e","s","s","c","c","p","w","t","p","k","n","u"
"2","e","x","g","y","t","a","d","c","b","k","e","c","y","y","e","e","p","w","o","p","u","a","p"
"3","e","k","s","n","t","l","f","w","b","n","t","c","s","k","b","b","p","w","o","p","n","v","g"
"4","p","b","y","w","t","y","f","c","n","e","t","e","s","k","w","g","p","w","b","n","k","s","u"
"5","e","b","s","g","f","n","n","c","b","o","t","b","s","s","w","e","p","w","b","z","w","a","g"
"6","e","k","s","y","f","a","f","w","n","n","t","z","s","s","b","b","p","w","o","p","k","n","p"
"7","e","f","f","w","t","a","a","c","b","g","e","c","s","f","w","w","p","w","o","p","w","n","m"
"8","e","b","y","w","t","l","f","c","b","r","t","c","s","s","y","y","u","w","t","p","y","y","w"
"9","p","s","y","y","f","p","f","d","n","b","t","u","s","s","w","w","p","y","t","p","b","v","w"
"10","e","b","s","y","t","a","d","c","b","g","e","c","y","y","w","o","p","w","o","p","k","s","g"
"11","e","x","s","r","t","l","n","d","n","b","e","u","s","s","w","w","u","y","o","s","b","n","g"
"12","e","c","g","y","t","p","d","w","b","n","e","c","y","y","w","w","p","w","o","f","w","s","g"
"13","e","b","g","c","t","a","f","c","b","k","e","b","y","s","n","w","p","o","o","f","n","a","d"
"14","p","x","g","w","t","c","f","d","n","r","e","r","y","y","w","c","p","o","o","p","b","v","g"
"15","e","s","f","e","t","m","a","w","b","n","e","r","f","f","p","w","p","w","t","e","k","a","g"
"16","e","s","g","r","t","n","d","w","n","k","e","z","s","y","o","o","p","o","o","l","n","v","p"
"17","e","f","f","w","t","y","a","w","b","k","e","e","f","f","g","g","p","n","o","e","n","s","g"
"18","p","x","f","n","t","p","f","c","b","p","e","c","s","f","b","w","p","w","o","e","k","c","g"
"19","p","b","y","w","f","y","n","c","n","n","t","b","s","s","g","g","p","w","b","s","h","s","g"
"20","p","s","g","y","t","m","d","c","n","h","e","e","s","s","w","w","p","w","b","p","u","s","w"
"21","e","c","s","p","f","a","n","w","n","p","t","c","s","s","w","w","u","w","o","s","n","c","m"
"22","p","x","y","g","t","y","d","c","n","h","e","e","y","y","w","g","p","o","o","l","n","s","d"
"23","e","c","y","y","t","l","d","w","b","p","e","c","y","s","b","w","p","w","b","p","u","s","d"
"24","e","b","y","w","t","a","a","w","b","w","e","z","s","f","w","w","p","n","o","p","r","v","d"
"25","e","b","s","w","f","l","f","c","b","o","t","b","s","s","g","g","u","w","o","n","k","a","l"
"26","p","f","g","r","t","c","d","d","n","b","e","e","y","y","c","w","p","w","t","f","n","n","w"
"27","e","f","y","e","t","a","a","c","b","n","e","e","f","s","n","w","p","n","o","p","k","s","g"
"28","e","k","y","u","t","l","f","w","b","w","e","c","y","s","b","w","p","o","o","p","n","v","m"
"29","e","b","s","r","f","n","f","c","n","k","t","e","s","s","e","w","p","y","o","p","k","a","u"
"30","e","f","s","y","t","a","f","c","n","h","t","e","k","s","g","g","p","w","o","p","w","v","l"
"31","e","b","s","p","t","l","f","c","b","g","e","r","k","k","c","w","p","w","t","n","n","y","p"
"32","p","x","y","w","t","c","f","d","b","u","e","u","s","y","g","g","p","w","o","p","n","s","l"
"33","e","k","y","r","t","f","f","w","b","w","e","z","s","y","o","w","p","w","o","f","r","v","u"
"34","e","f","y","e","t","l","f","c","b","e","e","r","f","f","w","w","p","w","o","p","n","s","p"
"35","e","b","g","n","t","l","f","c","b","n","e","b","s","s","n","n","p","o","b","l","n","a","m"
"36","e","x","s","c","f","l","f","d","n","u","t","u","s","s","y","y","p","w","t","p","y","n","u"
